Header,Xpstr,Code,English,Translation
Days - wide - Formatting,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""format""]/dayWidth[@type=""wide""]/day[@type=""sun""]",sun,Sunday,
Days - wide - Formatting,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""format""]/dayWidth[@type=""wide""]/day[@type=""mon""]",mon,Monday,
Days - wide - Formatting,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""format""]/dayWidth[@type=""wide""]/day[@type=""tue""]",tue,Tuesday,
Days - wide - Formatting,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""format""]/dayWidth[@type=""wide""]/day[@type=""wed""]",wed,Wednesday,
Days - wide - Formatting,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""format""]/dayWidth[@type=""wide""]/day[@type=""thu""]",thu,Thursday,
Days - wide - Formatting,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""format""]/dayWidth[@type=""wide""]/day[@type=""fri""]",fri,Friday,
Days - wide - Formatting,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""format""]/dayWidth[@type=""wide""]/day[@type=""sat""]",sat,Saturday,
Days - wide - Standalone,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""stand-alone""]/dayWidth[@type=""wide""]/day[@type=""sun""]",sun,Sunday,
Days - wide - Standalone,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""stand-alone""]/dayWidth[@type=""wide""]/day[@type=""mon""]",mon,Monday,
Days - wide - Standalone,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""stand-alone""]/dayWidth[@type=""wide""]/day[@type=""tue""]",tue,Tuesday,
Days - wide - Standalone,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""stand-alone""]/dayWidth[@type=""wide""]/day[@type=""wed""]",wed,Wednesday,
Days - wide - Standalone,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""stand-alone""]/dayWidth[@type=""wide""]/day[@type=""thu""]",thu,Thursday,
Days - wide - Standalone,"//ldml/dates/calendars/calendar[@type=""gregorian""]/days/dayContext[@type=""stand-alone""]/dayWidth[@type=""wide""]/day[@type=""fri""]",fri,Friday,
