Header	Page	Section	Code	English	Xpstr	Winning
Days - wide - Formatting	Gregorian	DateTime	sun	Sunday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sun"]	domingo
Days - wide - Formatting	Gregorian	DateTime	mon	Monday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="mon"]	lunes
Days - wide - Formatting	Gregorian	DateTime	tue	Tuesday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="tue"]	martes
Days - wide - Formatting	Gregorian	DateTime	wed	Wednesday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="wed"]	miércoles
Days - wide - Formatting	Gregorian	DateTime	thu	Thursday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="thu"]	jueves
Days - wide - Formatting	Gregorian	DateTime	fri	Friday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="fri"]	viernes
Days - wide - Formatting	Gregorian	DateTime	sat	Saturday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="wide"]/day[@type="sat"]	sábado
Days - wide - Standalone	Gregorian	DateTime	sun	Sunday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="wide"]/day[@type="sun"]	domingo
Days - wide - Standalone	Gregorian	DateTime	mon	Monday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="wide"]/day[@type="mon"]	lunes
Days - wide - Standalone	Gregorian	DateTime	tue	Tuesday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="wide"]/day[@type="tue"]	martes
Days - wide - Standalone	Gregorian	DateTime	wed	Wednesday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="wide"]/day[@type="wed"]	miércoles
Days - wide - Standalone	Gregorian	DateTime	thu	Thursday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="wide"]/day[@type="thu"]	jueves
Days - wide - Standalone	Gregorian	DateTime	fri	Friday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="wide"]/day[@type="fri"]	viernes
Days - wide - Standalone	Gregorian	DateTime	sat	Saturday	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="wide"]/day[@type="sat"]	sábado
Days - abbreviated - Formatting	Gregorian	DateTime	sun	Sun	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="abbreviated"]/day[@type="sun"]	dom
Days - abbreviated - Formatting	Gregorian	DateTime	mon	Mon	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="abbreviated"]/day[@type="mon"]	lun
Days - abbreviated - Formatting	Gregorian	DateTime	tue	Tue	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="abbreviated"]/day[@type="tue"]	mar
Days - abbreviated - Formatting	Gregorian	DateTime	wed	Wed	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="abbreviated"]/day[@type="wed"]	mié
Days - abbreviated - Formatting	Gregorian	DateTime	thu	Thu	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="abbreviated"]/day[@type="thu"]	jue
Days - abbreviated - Formatting	Gregorian	DateTime	fri	Fri	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="abbreviated"]/day[@type="fri"]	vie
Days - abbreviated - Formatting	Gregorian	DateTime	sat	Sat	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="abbreviated"]/day[@type="sat"]	sáb
Days - abbreviated - Standalone	Gregorian	DateTime	sun	Sun	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="sun"]	dom
Days - abbreviated - Standalone	Gregorian	DateTime	mon	Mon	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="mon"]	lun
Days - abbreviated - Standalone	Gregorian	DateTime	tue	Tue	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="tue"]	mar
Days - abbreviated - Standalone	Gregorian	DateTime	wed	Wed	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="wed"]	mié
Days - abbreviated - Standalone	Gregorian	DateTime	thu	Thu	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="thu"]	jue
Days - abbreviated - Standalone	Gregorian	DateTime	fri	Fri	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="fri"]	vie
Days - abbreviated - Standalone	Gregorian	DateTime	sat	Sat	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="stand-alone"]/dayWidth[@type="abbreviated"]/day[@type="sat"]	sáb
Days - short - Formatting	Gregorian	DateTime	sun	Su	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="short"]/day[@type="sun"]	DO
Days - short - Formatting	Gregorian	DateTime	mon	Mo	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="short"]/day[@type="mon"]	LU
Days - short - Formatting	Gregorian	DateTime	tue	Tu	//ldml/dates/calendars/calendar[@type="gregorian"]/days/dayContext[@type="format"]/dayWidth[@type="short"]/day[@type="tue"]	MA
